customer_id,customer_name,email,phone,city,state,signup_date,customer_segment
CUST00001,Ananya Miller,ananya.miller1@mail.com,8123156124,Lucknow,Uttar Pradesh,10/28/2023,premium
CUST00002,Amelia Rao,amelia.rao2@outlook.com,6204496093,Agra,Uttar Pradesh,03 Oct 2021,premium
CUST00003,Liam Rao,liam.rao3@yahoo.com,8889542655,Kanpur,Uttar Pradesh,05-09-2024,Regular
CUST00004,Isabella Singh,isabella.singh4@gmail.com,8156341511,VADODARA,Gujarat,2023/05/09,regular
CUST00005,Aditya Gupta,aditya.gupta5@yahoo.com,8800935401,Bengaluru,Karnataka,01/20/2024,premium
CUST00006,Kabir Gupta,kabir.gupta6@gmail.com,8124724799,AGRA,Uttar Pradesh,22 Feb 2024,New
CUST00007,Liam Brown,liam.brown7@outlook.com,9866402704,LUDHIANA,Punjab,28 Jun 2022,VIP
CUST00008,Amelia Miller,amelia.miller8@gmail.com,9909073286,HYDERABAD,Telangana,06/20/2022,regular
CUST00009,Kabir Verma,kabir.verma9@yahoo.com,9703975707,Delhi,Delhi,05 Dec 2021,Regular
CUST00010,Aarav Iyer,aarav.iyer10@outlook.com,7807765063,Ahmedabad,Gujarat,08/09/2024,VIP
CUST00011,Noah Reddy,noah.reddy11@gmail.com,9301942549,Kolkata,West Bengal,16/03/2022,regular
CUST00012,ABIGAIL BROWN,abigail.brown12@gmail.com,8529560480,jaipur,Rajasthan,2023/11/03,premium
CUST00013,diya johnson,diya.johnson13@yahoo.com,65068,Nashik,Maharashtra,2022/11/03,Regular
CUST00014,ARJUN SMITH,arjun.smith14@gmail.com,7257120244,Pune,Maharashtra,27-12-2022,Regular
CUST00015,ishaan gupta,ishaan.gupta15@yahoo.com,6202585894,AGRA,Uttar Pradesh,2023-01-13,regular
CUST00016,,william.singh16@outlook.com,6612026532,jaipur,Rajasthan,04-07-2021,premium
CUST00017,Henry Nair,henry.nair17@gmail.com,7859674935,Nashik,Maharashtra,19/10/2023,premium
CUST00018,Noah Rao,noah.rao18@outlook.com,8427692509,Bengaluru,Karnataka,2023/03/02,VIP
CUST00019,Kiara Patel,kiara.patel19@yahoo.com,7695024527,Mumbai,Maharashtra,10/31/2023,premium
CUST00020,Lucas Gupta,lucas.gupta20_at_mail.com,9866823538,Ludhiana,Punjab,22 May 2023,Premium
CUST00021,Aditya Anderson,aditya.anderson21@mail.com,8287705313,Ahmedabad,Gujarat,05/02/2024,New
CUST00022,KABIR SMITH,kabir.smith22@yahoo.com,9411454646,Surat,Gujarat,12/09/2022,Premium
CUST00023,ira davis,ira.davis23@gmail.com,6161736645,NASHIK,Maharashtra,13/01/2024,New
CUST00024,Ananya Williams,ananya.williams24_at_outlook.com,8190992937,AHMEDABAD,Gujarat,2023/10/04,Regular
CUST00025,Liam Williams,liam.williams25@outlook.com,8675984517,hyderabad,Telangana,30/11/2023,premium
CUST00026,Aarav Johnson,aarav.johnson26@yahoo.com,8523640548,Lucknow,Uttar Pradesh,2021/08/18,Premium
CUST00027,Kabir Brown,kabir.brown27@mail.com,8448845506,Nagpur,Maharashtra,04/07/2024,premium
CUST00028,Ishaan Sharma,ishaan.sharma28@yahoo.com,8155877346,Lucknow,Uttar Pradesh,11/11/2023,regular
CUST00029,reyansh brown,reyansh.brown29@yahoo.com,8367862922,Hyderabad,Telangana,06-12-2022,premium
CUST00030,Ishaan Davis,ishaan.davis30@yahoo.com,8346299407,Nagpur,Maharashtra,,New
CUST00031,Diya Patel,diya.patel31@gmail.com,8338129347,PATNA,Bihar,2021-10-18,regular
CUST00032,Pari Johnson,pari.johnson32@mail.com,81439,Lucknow,Uttar Pradesh,2022-08-23,New
CUST00033,Anaya Miller,anaya.miller33@outlook.com,9833324339,Ahmedabad,Gujarat,24 Apr 2023,New
CUST00034,Olivia Iyer,olivia.iyer34@outlook.com,9240107634,Nashik,Maharashtra,2022/02/16,Regular
CUST00035,diya jones,diya.jones35@gmail.com,7423707839,KOLKATA,West Bengal,06/11/2024,premium
CUST00036,Anaya Garcia,anaya.garcia36@outlook.com,9568286479,indore,Madhya Pradesh,22/05/2024,regular
CUST00037,Rohan Rao,rohan.rao37@gmail.com,8895336885,patna,Bihar,09 Jun 2024,regular
CUST00038,William Williams,,8735776226,Vadodara,Gujarat,03/01/2024,regular
CUST00039,riya nair,riya.nair39@gmail.com,84133,Ahmedabad,Gujarat,2023/01/04,Premium
CUST00040,MYRA GARCIA,myra.garcia40_at_gmail.com,7448495661,Ludhiana,Punjab,07/12/2022,premium
CUST00041,Vihaan Sharma,vihaan.sharma41@outlook.com,8374864174,Ludhiana,Punjab,2024/09/21,Regular
CUST00042,alexander garcia,alexander.garcia42@yahoo.com,7318955963,Nagpur,Maharashtra,29/04/2022,VIP
CUST00043,Liam Patel,liam.patel43@mail.com,8302786799,Chennai,Tamil Nadu,01/13/2023,Regular
CUST00044,DIYA PATEL,diya.patel44@yahoo.com,6207625222,Ahmedabad,Gujarat,2021-07-09,regular
CUST00045,Aditya Kumar,aditya.kumar45@yahoo.com,9950833480,Hyderabad,Telangana,2024-06-29,premium
CUST00046,Liam Wilson,liam.wilson46@mail.com,6265907416,LUDHIANA,Punjab,2022-12-14,premium
CUST00047,riya gupta,riya.gupta47@mail.com,9343390582,Ahmedabad,Gujarat,2023/06/08,premium
CUST00048,Kabir Miller,kabir.miller48@yahoo.com,7483656443,Lucknow,Uttar Pradesh,2022-02-12,New
CUST00049,Ananya Brown,ananya.brown49@outlook.com,8816479341,nashik,Maharashtra,01/23/2023,New
